month,商品名,備考
2022-01,トミカ No.4 Honda VFR 白バイ
2022-01,トミカ No.14 スズキ ジムニー(箱)
2022-01,トミカ No.14 スズキ ジムニー JAF ロードサービスカー (箱) 
2023-01,トーマストミカ 07 パーシー（おこり顔）
2023-11,ディズニークリスマスグッズ2023：ディズニー・ビークル・コレクション
2024-12,トミカ No.30 三菱 トライトン（青）,トミカ博2024
2024-12,ホンダ シビック TYPE R TOMICA EXPO 覆面パトロールカー仕様,トミカ博2024
2024-12,SUBARU BRZ TOMICA EXPO パトロールカー仕様,トミカ博2024
2025-02,トミカ No.101 いすゞ ギガ ダンプカー（箱）
2024-01,ロングタイプトミカ No134.メルセデスベンツ シターロ 京成 連節バス
2025-12,トミカ No.117 ポルシェ 911 カレラ,中古
2025-12,トミカ No.85 トヨタ FJクルーザー 警視庁 パトロールカー,中古
2025-12,2016 トミカ博限定 ツナグーン,中古
2025-12,トミカ No.39 アウディ R8,中古
2025-12,トミカ No.81 ホンダ NSX-R 警視庁 パトロールカー,中古
2025-12,トミカ No.88 日産 エルグランド 道路パトロールカー,中古
2025-12,トミカ No.13 レクサス RC F,中古
2025-12,ミカ No.30 日野レンジャー 重機搬送車,中古
2025-12,UDトラックス コンドル トミカ博 2012 NO.31,中古
2025-12,トミカ No.83 ヤンマー トラクター YT5113,中古
2025-12,いすゞ ガーラ JRバス東北 1台／トミカ TOMICA No.16 はやぶさカラー,中古
2025-12,トミカ No.12 トヨタ アルファード,中古
2025-12,トミカ No.56 コマツ ブルドーザD155AX-6,中古
2025-12,トミカ No.84 トヨタ ヴェルファイア,中古
2025-12,トミカ　No.98 ホンダ　S660 赤,中古
2025-12,トミカ No.70 トヨタ ジェネオ ハイブリッド,中古
2025-12,トミカ No.45 トヨタ ダイナ 清掃車,中古
